Langage,Tri,Taille,Temps,mémoire
C,Fusion,10000,0.00,1536
C,Fusion,10000,0.00,1536
C,Fusion,10000,0.00,1536
C,Fusion,10000,0.00,1536
C,Fusion,10000,0.00,1536
C,Fusion,10000,0.00,1536
C,Fusion,10000,0.00,1536
C,Fusion,10000,0.00,1536
C,Fusion,10000,0.00,1536
C,Fusion,10000,0.00,1536
C,rapide,10000,0.00,1536
C,rapide,10000,0.00,1536
C,rapide,10000,0.01,1536
C,rapide,10000,0.00,1536
C,rapide,10000,0.00,1536
C,rapide,10000,0.00,1536
C,rapide,10000,0.01,1536
C,rapide,10000,0.00,1536
C,rapide,10000,0.00,1536
C,rapide,10000,0.00,1536
C,insertion,10000,0.16,1536
C,insertion,10000,0.07,1536
C,insertion,10000,0.10,1536
C,insertion,10000,0.16,1536
C,insertion,10000,0.16,1536
C,insertion,10000,0.15,1536
C,insertion,10000,0.15,1536
C,insertion,10000,0.07,1536
C,insertion,10000,0.17,1536
C,insertion,10000,0.07,1536
Java,Fusion,10000,0.42,55568
Java,Fusion,10000,0.40,56292
Java,Fusion,10000,0.37,55456
Java,Fusion,10000,0.36,56524
Java,Fusion,10000,0.36,55772
Java,Fusion,10000,0.37,55616
Java,Fusion,10000,0.34,55724
Java,Fusion,10000,0.36,55624
Java,Fusion,10000,0.36,55532
Java,Fusion,10000,0.41,56560
Java,rapide,10000,0.46,54484
Java,rapide,10000,0.45,54260
Java,rapide,10000,0.42,54628
Java,rapide,10000,0.44,54420
Java,rapide,10000,0.45,54624
Java,rapide,10000,0.56,54948
Java,rapide,10000,0.46,54880
Java,rapide,10000,0.45,54452
Java,rapide,10000,0.51,56468
Java,rapide,10000,0.47,54904
Java,insertion,10000,0.54,54696
Java,insertion,10000,0.51,54444
Java,insertion,10000,0.55,54448
Java,insertion,10000,0.55,54632
Java,insertion,10000,0.52,54176
Java,insertion,10000,0.55,54424
Java,insertion,10000,0.50,54288
Java,insertion,10000,0.51,54532
Java,insertion,10000,0.54,54580
Java,insertion,10000,0.59,54852
Python,Fusion,10000,0.10,11648
Python,Fusion,10000,0.09,11776
Python,Fusion,10000,0.10,11776
Python,Fusion,10000,0.11,11648
Python,Fusion,10000,0.10,11520
Python,Fusion,10000,0.10,11520
Python,Fusion,10000,0.08,11648
Python,Fusion,10000,0.09,11776
Python,Fusion,10000,0.09,11776
Python,Fusion,10000,0.07,11776
Python,rapide,10000,0.10,11776
Python,rapide,10000,0.09,11776
Python,rapide,10000,0.09,11648
Python,rapide,10000,0.09,11776
Python,rapide,10000,0.09,11776
Python,rapide,10000,0.09,11648
Python,rapide,10000,0.11,11776
Python,rapide,10000,0.09,11776
Python,rapide,10000,0.08,11776
Python,rapide,10000,0.08,11776
Python,insertion,10000,3.51,11520
Python,insertion,10000,3.29,11520
Python,insertion,10000,3.37,11648
Python,insertion,10000,3.14,11648
Python,insertion,10000,3.11,11648
Python,insertion,10000,3.14,11520
Python,insertion,10000,3.10,11520
Python,insertion,10000,3.08,11648
Python,insertion,10000,3.41,11520
Python,insertion,10000,3.06,11648
